B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8 eig9 eig10 eig11 eig12 eig13 eig14 eig15 eig16 eig17 eig18
0.1000 1 0.70000000 2 0.9999999916 0.0000000083 0.0000000025 0.0000000016 0.0000000014 0.0000000013 0.0000000010 0.0000000008 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003
0.2000 1 0.90000000 2 0.9999999930 0.0000000044 0.0000000038 0.0000000030 0.0000000025 0.0000000014 0.0000000014 0.0000000012 0.0000000009 0.0000000008 0.0000000007 0.0000000007 0.0000000006 0.0000000006 0.0000000004 0.0000000004 0.0000000004 0.0000000004
0.3000 1 1.10000000 2 0.9999999822 0.0000000120 0.0000000101 0.0000000065 0.0000000045 0.0000000039 0.0000000035 0.0000000032 0.0000000019 0.0000000019 0.0000000018 0.0000000016 0.0000000015 0.0000000014 0.0000000012 0.0000000011 0.0000000010 0.0000000010
0.4000 1 1.30000000 2 0.9999999942 0.0000000026 0.0000000026 0.0000000019 0.0000000008 0.0000000006 0.0000000006 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.5000 1 1.50000000 2 0.9999999798 0.0000000075 0.0000000041 0.0000000040 0.0000000035 0.0000000032 0.0000000021 0.0000000018 0.0000000016 0.0000000012 0.0000000012 0.0000000011 0.0000000010 0.0000000010 0.0000000008 0.0000000007 0.0000000007 0.0000000006
0.6000 1 1.70000000 2 0.9999999942 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7000 1 1.90000000 2 0.9999999951 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8000 1 2.10000000 2 0.9999999914 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.9000 1 2.30000000 2 0.9999999916 0.0000000006 0.0000000005 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000 1 2.50000000 2 0.9999999903 0.0000000027 0.0000000025 0.0000000023 0.0000000012 0.0000000011 0.0000000010 0.0000000007 0.0000000007 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002
1.1000 1 2.70000000 2 0.9999999920 0.0000000032 0.0000000025 0.0000000019 0.0000000010 0.0000000009 0.0000000009 0.0000000006 0.0000000006 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.2000 1 2.90000000 2 0.9999999907 0.0000000030 0.0000000023 0.0000000020 0.0000000011 0.0000000010 0.0000000009 0.0000000007 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002
1.3000 1 3.10000000 2 0.9999999935 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.4000 1 3.30000000 2 0.9999999945 0.0000000034 0.0000000024 0.0000000007 0.0000000005 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000
1.5000 1 3.50000000 2 0.9999999934 0.0000000098 0.0000000070 0.0000000028 0.0000000024 0.0000000018 0.0000000015 0.0000000013 0.0000000013 0.0000000011 0.0000000009 0.0000000009 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004
1.6000 1 3.70000000 2 0.9999999916 0.0000000064 0.0000000047 0.0000000018 0.0000000016 0.0000000012 0.0000000012 0.0000000010 0.0000000009 0.0000000009 0.0000000007 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003
1.7000 1 3.90000000 2 0.9999999929 0.0000000089 0.0000000065 0.0000000022 0.0000000020 0.0000000015 0.0000000012 0.0000000012 0.0000000011 0.0000000011 0.0000000008 0.0000000008 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004
