B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8
0.0500 1 0.60000000 1 1.0000000006 0.0000000004 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000000
0.1000 1 0.70000000 1 1.0000000012 0.0000000083 0.0000000050 0.0000000040 0.0000000036 0.0000000033 0.0000000022 0.0000000016
0.1500 1 0.80000000 1 1.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2000 1 0.90000000 1 0.9999999981 0.0000000069 0.0000000036 0.0000000033 0.0000000028 0.0000000027 0.0000000017 0.0000000015
0.2500 1 1.00000000 1 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3000 1 1.10000000 1 0.9999999869 0.0000000129 0.0000000044 0.0000000031 0.0000000029 0.0000000022 0.0000000017 0.0000000013
0.3500 1 1.20000000 1 0.9999999930 0.0000000237 0.0000000051 0.0000000043 0.0000000037 0.0000000026 0.0000000022 0.0000000015
0.4000 1 1.30000000 1 0.9999999858 0.0000000210 0.0000000040 0.0000000039 0.0000000035 0.0000000024 0.0000000020 0.0000000014
0.4500 1 1.40000000 1 0.9999999875 0.0000000267 0.0000000045 0.0000000040 0.0000000039 0.0000000025 0.0000000022 0.0000000015
0.5000 1 1.50000000 1 0.9999999805 0.0000000147 0.0000000025 0.0000000023 0.0000000022 0.0000000015 0.0000000013 0.0000000009
0.5500 1 1.60000000 1 0.9999999811 0.0000000156 0.0000000025 0.0000000022 0.0000000020 0.0000000015 0.0000000013 0.0000000009
0.6000 1 1.70000000 1 0.9999999823 0.0000000185 0.0000000027 0.0000000023 0.0000000020 0.0000000015 0.0000000014 0.0000000009
0.6500 1 1.80000000 1 0.9999999794 0.0000000092 0.0000000013 0.0000000011 0.0000000009 0.0000000007 0.0000000007 0.0000000004
0.7000 1 1.89999999 1 0.9999999910 0.0000000361 0.0000000041 0.0000000032 0.0000000026 0.0000000021 0.0000000019 0.0000000012
0.7500 1 1.99999999 1 0.9999999891 0.0000000083 0.0000000011 0.0000000009 0.0000000007 0.0000000006 0.0000000005 0.0000000003
0.8000 1 2.09999998 1 0.9999999894 0.0000000067 0.0000000009 0.0000000007 0.0000000006 0.0000000005 0.0000000004 0.0000000003
0.8500 1 2.19999998 1 0.9999999943 0.0000000203 0.0000000024 0.0000000018 0.0000000014 0.0000000012 0.0000000010 0.0000000007
0.9000 1 2.29999997 1 0.9999999912 0.0000000028 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001 0.0000000001
0.9500 1 2.40000000 1 0.9999999886 0.0000000068 0.0000000008 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000003
1.0000 1 2.50000000 1 0.9999999884 0.0000000046 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002
