B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8 eig9 eig10 eig11 eig12 eig13 eig14 eig15 eig16 eig17 eig18
0.1000 1 -1.38062485 1 1.0000000024 0.0000000022 0.0000000015 0.0000000013 0.0000000011 0.0000000010 0.0000000007 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000004
0.2000 1 -1.26244047 1 1.0000000006 0.0000000017 0.0000000011 0.0000000011 0.0000000008 0.0000000008 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003
0.3000 1 -1.14536240 1 1.0000000055 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000
0.4000 1 -1.02931142 1 0.9999999930 0.0000000026 0.0000000017 0.0000000015 0.0000000013 0.0000000012 0.0000000008 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003
0.5000 1 -0.91421356 1 1.0000000004 0.0000000010 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.6000 1 -0.80000000 1 1.0000000007 0.0000000007 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
0.7000 1 -0.68660687 1 0.9999999946 0.0000000020 0.0000000013 0.0000000013 0.0000000010 0.0000000009 0.0000000007 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003
0.8000 1 -0.57397507 1 1.0000000026 0.0000000008 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.9000 1 -0.46204994 1 0.9999999999 0.0000000010 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.0000 1 -0.35078106 1 0.9999999984 0.0000000010 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
1.1000 1 -0.24012195 1 0.9999999991 0.0000000009 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
1.2000 1 -0.13002976 1 0.9999999993 0.0000000009 0.0000000006 0.0000000006 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001
1.3000 1 -0.02046505 1 1.0000000003 0.0000000009 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001
1.4000 1 0.08860850 1 1.0000000002 0.0000000009 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.5000 1 0.19722436 1 0.9999999985 0.0000000009 0.0000000007 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.6000 1 0.30541333 1 1.0000000008 0.0000000010 0.0000000007 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.7000 1 0.41320377 1 0.9999999971 0.0000000008 0.0000000007 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.8000 1 0.52062186 1 1.0000000034 0.0000000011 0.0000000008 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.9000 1 0.62769171 1 0.9999999972 0.0000000008 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
2.0000 1 0.73443556 1 1.0000000001 0.0000000010 0.0000000008 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
2.1000 1 0.84087397 1 0.9999999991 0.0000000009 0.0000000007 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
2.2000 1 0.94702591 1 0.9999999965 0.0000000007 0.0000000006 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
2.3000 1 1.05290894 1 0.9999999995 0.0000000011 0.0000000009 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
2.4000 1 1.15853930 1 1.0000000022 0.0000000009 0.0000000007 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.5000 1 1.26393202 1 0.9999999960 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.6000 1 1.36910105 1 0.9999999985 0.0000000010 0.0000000008 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.7000 1 1.47405933 1 0.9999999963 0.0000000009 0.0000000007 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.8000 1 1.57881885 1 0.9999999951 0.0000000009 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.9000 1 1.68339080 1 0.9999999940 0.0000000008 0.0000000007 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
3.0000 1 1.78778554 1 0.9999999937 0.0000000007 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
3.1000 1 1.89201274 1 0.9999999997 0.0000000013 0.0000000011 0.0000000009 0.0000000008 0.0000000007 0.0000000007 0.0000000006 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
3.2000 1 1.99608144 1 0.9999999991 0.0000000014 0.0000000012 0.0000000010 0.0000000008 0.0000000008 0.0000000007 0.0000000006 0.0000000006 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001
3.3000 1 2.10000000 1 0.9999999918 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.4000 1 2.20377628 1 1.0000000033 0.0000000019 0.0000000016 0.0000000013 0.0000000011 0.0000000011 0.0000000009 0.0000000008 0.0000000008 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
3.5000 1 2.30741760 1 1.0000000085 0.0000000027 0.0000000023 0.0000000019 0.0000000017 0.0000000015 0.0000000014 0.0000000012 0.0000000011 0.0000000006 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000001
3.6000 1 2.41093081 1 1.0000000004 0.0000000017 0.0000000015 0.0000000012 0.0000000010 0.0000000010 0.0000000008 0.0000000008 0.0000000007 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
3.7000 1 2.51432234 1 1.0000000047 0.0000000022 0.0000000019 0.0000000015 0.0000000014 0.0000000013 0.0000000011 0.0000000010 0.0000000009 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000001
3.8000 1 2.61759819 1 0.9999999958 0.0000000011 0.0000000010 0.0000000008 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
3.9000 1 2.72076399 1 0.9999999934 0.0000000008 0.0000000008 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
4.0000 1 2.82382502 1 0.9999999966 0.0000000013 0.0000000011 0.0000000009 0.0000000008 0.0000000008 0.0000000006 0.0000000006 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001
4.1000 1 2.92678625 1 1.0000000019 0.0000000019 0.0000000017 0.0000000014 0.0000000013 0.0000000012 0.0000000010 0.0000000009 0.0000000008 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
4.2000 1 3.02965234 1 0.9999999943 0.0000000009 0.0000000008 0.0000000007 0.0000000006 0.0000000006 0.0000000004 0.0000000004 0.0000000004 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
4.3000 1 3.13242767 1 0.9999999992 0.0000000015 0.0000000014 0.0000000011 0.0000000010 0.0000000009 0.0000000007 0.0000000007 0.0000000007 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
4.4000 1 3.23511637 1 1.0000000098 0.0000000030 0.0000000027 0.0000000022 0.0000000020 0.0000000019 0.0000000015 0.0000000014 0.0000000013 0.0000000007 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000003 0.0000000003 0.0000000001
4.5000 1 3.33772234 1 0.9999999921 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000
4.6000 1 3.44024923 1 0.9999999997 0.0000000015 0.0000000014 0.0000000011 0.0000000010 0.0000000010 0.0000000008 0.0000000007 0.0000000007 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
4.7000 1 3.54270050 1 0.9999999950 0.0000000010 0.0000000009 0.0000000007 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001
