B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8
0.0500 4 0.53333327 2 0.7295239174 0.1260575345 0.1021639159 0.0422546381 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1000 4 0.56666658 2 0.7848319739 0.1001734425 0.0853012245 0.0296933628 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1500 4 0.59999988 2 0.7929006400 0.1163729303 0.0642639570 0.0264624728 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2000 4 0.63333324 2 0.8103951762 0.1042875153 0.0603079357 0.0250093715 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2500 4 0.66666661 2 0.7181432968 0.1534094875 0.0930917132 0.0353555018 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3000 4 0.69999994 2 0.7195500040 0.1576561199 0.0872279226 0.0355659529 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3500 0 0.73333200 2 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4000 4 0.76666627 2 0.7386766092 0.1314609363 0.0970715040 0.0327910617 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4500 4 0.79999894 2 0.7283601492 0.1557017132 0.0761750063 0.0397631314 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5000 4 0.83333253 2 0.7780639711 0.1253685853 0.0675511260 0.0290163176 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5500 4 0.86666542 2 0.6199184410 0.2101109248 0.1280108378 0.0419598378 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6000 0 0.89999886 2 0.0000000005 0.0000000002 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6500 4 0.93333205 2 0.5602979535 0.2453809769 0.1432428326 0.0510782377 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7000 4 0.96666619 2 0.8184004549 0.1027612066 0.0541994501 0.0246388881 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7500 4 0.99999970 2 0.7186623767 0.1582456216 0.0878235525 0.0352684487 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8000 4 1.03333288 2 0.6245356169 0.2103813571 0.1196632879 0.0454197352 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8500 4 1.06666649 2 0.7174574724 0.1579222636 0.0912096669 0.0334106008 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.9000 4 1.09999777 2 0.6355659741 0.2047775446 0.1144540390 0.0452024376 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.9500 4 1.13333295 2 0.7504016095 0.1414699040 0.0748181098 0.0333103767 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000 4 1.16666625 2 0.7333426899 0.1495925327 0.0845148847 0.0325498925 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0500 4 1.19999900 2 0.7590455320 0.1354085498 0.0755703320 0.0299755802 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.1000 4 1.23333108 2 0.5429176876 0.2558786955 0.1465267181 0.0546769007 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.1500 4 1.26666436 2 0.7136074356 0.1625058187 0.0852539593 0.0386327865 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.2000 0 1.29999699 2 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.2500 4 1.33332998 2 0.6126962452 0.2184571900 0.1192233533 0.0496232116 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.3000 4 1.36666326 2 0.6361728445 0.2062581431 0.1088865690 0.0486824457 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.3500 4 1.39999859 2 0.7406296705 0.1465318739 0.0791486503 0.0336898081 0.0000000000 0.0000000000 0.0000000000 0.0000000000
