B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8
2.2500 1 5.00000000 1 0.9999999895 0.0000000252 0.0000000015 0.0000000014 0.0000000013 0.0000000010 0.0000000009 0.0000000008
2.3000 1 5.10000000 1 0.9999999891 0.0000000257 0.0000000015 0.0000000014 0.0000000012 0.0000000009 0.0000000009 0.0000000007
2.3500 1 5.20000000 1 0.9999999884 0.0000000269 0.0000000016 0.0000000014 0.0000000011 0.0000000008 0.0000000008 0.0000000006
2.4000 1 5.30000000 1 0.9999999868 0.0000000300 0.0000000017 0.0000000016 0.0000000008 0.0000000008 0.0000000006 0.0000000004
2.4500 1 5.40000000 1 0.9999999849 0.0000000335 0.0000000019 0.0000000018 0.0000000008 0.0000000006 0.0000000004 0.0000000001
2.5000 1 5.50000000 1 0.9999999822 0.0000000392 0.0000000022 0.0000000021 0.0000000008 0.0000000005 0.0000000003 -0.0000000000
2.5500 1 5.60000000 1 0.9999999968 0.0000000148 0.0000000007 0.0000000006 0.0000000005 0.0000000003 0.0000000003 0.0000000002
2.6000 1 5.70000000 1 0.9999999968 0.0000000153 0.0000000007 0.0000000006 0.0000000005 0.0000000003 0.0000000003 0.0000000002
2.6500 1 5.79999999 1 0.9999999944 0.0000000021 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000
2.7000 1 5.89999999 1 0.9999999923 0.0000000238 0.0000000032 0.0000000028 0.0000000028 0.0000000017 0.0000000014 0.0000000014
2.7500 1 5.99999999 1 0.9999999925 0.0000000233 0.0000000032 0.0000000028 0.0000000028 0.0000000017 0.0000000014 0.0000000013
2.8000 1 6.09999999 1 0.9999999928 0.0000000227 0.0000000031 0.0000000028 0.0000000027 0.0000000017 0.0000000014 0.0000000013
2.8500 1 6.19999999 1 0.9999999930 0.0000000220 0.0000000030 0.0000000027 0.0000000026 0.0000000016 0.0000000013 0.0000000013
2.9000 1 6.29999998 1 0.9999999933 0.0000000213 0.0000000029 0.0000000027 0.0000000026 0.0000000016 0.0000000013 0.0000000012
2.9500 1 6.39999998 1 0.9999999936 0.0000000204 0.0000000028 0.0000000026 0.0000000025 0.0000000015 0.0000000012 0.0000000012
3.0000 1 6.49999998 1 0.9999999939 0.0000000195 0.0000000026 0.0000000025 0.0000000024 0.0000000014 0.0000000012 0.0000000011
3.0500 1 6.59999997 1 0.9999999942 0.0000000185 0.0000000025 0.0000000024 0.0000000023 0.0000000014 0.0000000011 0.0000000011
3.1000 1 6.69999997 1 0.9999999946 0.0000000173 0.0000000024 0.0000000022 0.0000000021 0.0000000013 0.0000000011 0.0000000010
3.1500 1 6.79999996 1 0.9999999950 0.0000000161 0.0000000022 0.0000000021 0.0000000020 0.0000000012 0.0000000010 0.0000000009
3.2000 1 6.89999996 1 0.9999999954 0.0000000148 0.0000000020 0.0000000019 0.0000000018 0.0000000011 0.0000000009 0.0000000009
3.2500 1 6.99999995 1 0.9999999958 0.0000000134 0.0000000018 0.0000000018 0.0000000017 0.0000000010 0.0000000008 0.0000000008
3.3000 1 7.09999995 1 0.9999999963 0.0000000118 0.0000000016 0.0000000016 0.0000000015 0.0000000009 0.0000000007 0.0000000007
3.3500 1 7.19999994 1 0.9999999968 0.0000000102 0.0000000014 0.0000000014 0.0000000013 0.0000000008 0.0000000006 0.0000000006
3.4000 1 7.29999993 1 0.9999999974 0.0000000085 0.0000000012 0.0000000011 0.0000000011 0.0000000006 0.0000000005 0.0000000005
3.4500 1 7.39999993 1 0.9999999979 0.0000000066 0.0000000009 0.0000000009 0.0000000009 0.0000000005 0.0000000004 0.0000000004
3.5000 1 7.49999992 1 0.9999999985 0.0000000047 0.0000000006 0.0000000006 0.0000000006 0.0000000004 0.0000000003 0.0000000003
3.5500 1 7.59999991 1 0.9999999992 0.0000000027 0.0000000004 0.0000000004 0.0000000004 0.0000000002 0.0000000002 0.0000000002
3.6000 1 7.69999990 1 0.9999999998 0.0000000005 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000
3.6500 1 7.79999989 1 0.9999999990 0.0000000035 0.0000000005 0.0000000005 0.0000000005 0.0000000003 0.0000000002 0.0000000002
3.7000 1 7.90000000 1 0.9999999953 0.0000000059 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000001 0.0000000001
3.7500 1 8.00000000 1 0.9999999945 0.0000000168 0.0000000021 0.0000000021 0.0000000020 0.0000000012 0.0000000011 0.0000000011
3.8000 1 8.10000000 1 0.9999999945 0.0000000168 0.0000000021 0.0000000021 0.0000000020 0.0000000012 0.0000000011 0.0000000011
3.8500 1 8.20000000 1 0.9999999945 0.0000000168 0.0000000021 0.0000000021 0.0000000020 0.0000000012 0.0000000011 0.0000000011
3.9000 1 8.30000000 1 0.9999999945 0.0000000169 0.0000000021 0.0000000021 0.0000000020 0.0000000012 0.0000000011 0.0000000011
3.9500 1 8.40000000 1 0.9999999945 0.0000000169 0.0000000021 0.0000000021 0.0000000020 0.0000000012 0.0000000011 0.0000000011
4.0000 1 8.50000000 1 0.9999999945 0.0000000169 0.0000000021 0.0000000021 0.0000000021 0.0000000012 0.0000000011 0.0000000011
