B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8
0.0500 4 0.53333325 1 0.6871998004 0.1638042866 0.1054730477 0.0435228696 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1000 4 0.56666652 1 0.6754604727 0.1834287928 0.0961144216 0.0449963065 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1500 4 0.59999969 1 0.5686426123 0.2414405556 0.1380996537 0.0518171802 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2000 4 0.63333322 1 0.6497698861 0.1951002237 0.1144765204 0.0406533694 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2500 4 0.66666601 1 0.5046422668 0.2754551538 0.1734798428 0.0464227371 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3000 4 0.69999927 1 0.6168656047 0.1721103258 0.1558453649 0.0551787657 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3500 4 0.73333266 1 0.7018722552 0.1674397046 0.0938225480 0.0368654917 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4000 4 0.76666572 1 0.6168848089 0.2149933051 0.1212415809 0.0468803049 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4500 0 0.79999805 1 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5000 4 0.83333126 1 0.5801211381 0.2350525885 0.1345479348 0.0502783400 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5500 4 0.86666522 1 0.7039370029 0.1679770538 0.0881971056 0.0398888379 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6000 4 0.89999923 1 0.7347239294 0.1504040684 0.0791446429 0.0357273591 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6500 4 0.93333267 1 0.7639132158 0.1329931543 0.0730958267 0.0299978038 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7000 4 0.96666534 1 0.7716869363 0.1280421917 0.0724290369 0.0278418355 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7500 4 0.99999835 1 0.6839594072 0.1780938383 0.0976249483 0.0403218064 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8000 4 1.03333269 1 0.4820197226 0.2688502480 0.1902078329 0.0589221966 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8500 4 1.06666437 1 0.7830329429 0.1216193501 0.0690723079 0.0262753999 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.9000 4 1.09999757 1 0.7488326192 0.1407197057 0.0801724607 0.0302752141 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.9500 0 1.13333117 1 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000 4 1.16666337 1 0.6263092818 0.2089417214 0.1205055033 0.0442434936 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0500 4 1.19999994 1 0.8065599953 0.1088231862 0.0603695250 0.0242472937 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.1000 4 1.23333249 1 0.7620489932 0.1172356523 0.0713590264 0.0493563302 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.1500 4 1.26666652 1 0.7290539680 0.1516969742 0.0867820781 0.0324669797 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.2000 4 1.29999697 1 0.7857389346 0.1200814009 0.0682785928 0.0259010717 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.2500 4 1.33333261 1 0.8247108776 0.0992531359 0.0527807264 0.0232552604 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.3000 4 1.36666500 1 0.5837842057 0.2329125991 0.1336407272 0.0496624687 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.3500 4 1.39999952 1 0.6510560084 0.1957889018 0.1105137182 0.0426413723 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.4000 4 1.43333026 1 0.6040059385 0.2201967529 0.1310425023 0.0447548076 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.4500 4 1.46666623 1 0.7625988301 0.1335702591 0.0740831318 0.0297477790 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.5000 4 1.49999683 1 0.7276115229 0.1530413822 0.0856478821 0.0336992136 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.5500 4 1.53332958 1 0.5632059298 0.2445559460 0.1388996493 0.0533384776 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.6000 4 1.56666480 1 0.7368132056 0.1481825586 0.0818059479 0.0331982879 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.6500 4 1.59999762 1 0.8237344034 0.0992553674 0.0547592149 0.0222510145 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.7000 4 1.63332764 1 0.5568734498 0.2476891384 0.1431810091 0.0522564024 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.7500 0 1.66666185 1 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.8000 4 1.69999700 1 0.7065195673 0.1637160058 0.0958084337 0.0339559932 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.8500 4 1.73333166 1 0.8169036639 0.1036248309 0.0552518080 0.0242196976 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.9000 4 1.76666573 1 0.6179011777 0.2150779665 0.1189653084 0.0480555478 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.9500 4 1.79999886 1 0.8048003931 0.1105034202 0.0587811161 0.0259150701 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000 4 1.83332828 1 0.6850513812 0.1759097033 0.1021088383 0.0369300727 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0500 4 1.86666329 1 0.7463596679 0.1426856058 0.0792194734 0.0317352529 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.1000 4 1.89999512 1 0.5719384033 0.2393833974 0.1379545481 0.0507236485 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.1500 4 1.93332918 1 0.5777540838 0.2358926749 0.1365436185 0.0498096237 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.2000 4 1.96666325 1 0.7852946772 0.1203379932 0.0683932640 0.0259740653 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.2500 4 1.99999157 1 0.7911211290 0.1175655101 0.0650602903 0.0262530725 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.3000 4 2.03332732 1 0.5895705714 0.2312893752 0.1269008049 0.0522392490 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.3500 4 2.06666012 1 0.7659554574 0.1312682686 0.0742825118 0.0284937634 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.4000 4 2.09999381 1 0.7120475668 0.1627486807 0.0876381214 0.0375656289 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.4500 4 2.13333038 1 0.7200978779 0.1570336743 0.0887016945 0.0341667402 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.5000 4 2.16666206 1 0.7778264215 0.1207765058 0.0814218899 0.0199752054 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.5500 4 2.19999448 1 0.7798632273 0.1238676152 0.0686682456 0.0276009119 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.6000 4 2.23332931 1 0.5575417711 0.2507056639 0.1328001708 0.0589523941 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.6500 0 2.26665763 1 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.7000 4 2.29999628 1 0.6095644964 0.2178712447 0.1272526824 0.0453115756 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.7500 4 2.33332794 1 0.6345136613 0.2041697453 0.1184354348 0.0428811580 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.8000 4 2.36666562 1 0.7191054969 0.1580055976 0.0877499612 0.0351389408 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.8500 4 2.39999571 1 0.8235779646 0.0997491072 0.0535927737 0.0230801544 0.0000000000 0.0000000000 0.0000000000 0.0000000000
