B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8
0.0500 1 -0.98369955 1 0.9999999949 0.0000000066 0.0000000046 0.0000000037 0.0000000023 0.0000000022 0.0000000018 0.0000000018
0.1000 1 -0.96811458 1 0.9999999983 0.0000000039 0.0000000024 0.0000000020 0.0000000013 0.0000000013 0.0000000010 0.0000000009
0.1500 1 -0.95321912 1 0.9999999971 0.0000000044 0.0000000031 0.0000000024 0.0000000016 0.0000000016 0.0000000013 0.0000000012
0.2000 1 -0.93898669 1 0.9999999976 0.0000000054 0.0000000036 0.0000000028 0.0000000019 0.0000000018 0.0000000014 0.0000000014
0.2500 1 -0.92539053 1 0.9999999952 0.0000000052 0.0000000030 0.0000000024 0.0000000017 0.0000000016 0.0000000013 0.0000000012
0.3000 1 -0.91240384 1 0.9999999982 0.0000000063 0.0000000024 0.0000000020 0.0000000017 0.0000000015 0.0000000013 0.0000000009
0.3500 1 -0.90000000 1 1.0000000014 0.0000000026 0.0000000013 0.0000000011 0.0000000009 0.0000000008 0.0000000008 0.0000000007
0.4000 1 -0.88815273 1 0.9999999974 0.0000000017 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000001
0.4500 1 -0.87683625 1 0.9999999965 0.0000000037 0.0000000012 0.0000000011 0.0000000011 0.0000000008 0.0000000008 0.0000000007
0.5000 1 -0.86602540 1 0.9999999985 0.0000000017 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004
0.5500 1 -0.85569575 1 1.0000000017 0.0000000007 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000002
0.6000 1 -0.84582364 1 0.9999999998 0.0000000026 0.0000000009 0.0000000008 0.0000000008 0.0000000006 0.0000000005 0.0000000005
0.6500 1 -0.83638631 1 0.9999999982 0.0000000026 0.0000000012 0.0000000010 0.0000000009 0.0000000007 0.0000000006 0.0000000005
0.7000 1 -0.82736185 1 0.9999999968 0.0000000036 0.0000000013 0.0000000012 0.0000000011 0.0000000008 0.0000000007 0.0000000007
0.7500 1 -0.81872930 1 0.9999999955 0.0000000044 0.0000000012 0.0000000008 0.0000000007 0.0000000006 0.0000000006 0.0000000006
0.8000 1 -0.81046864 1 1.0000000048 0.0000000004 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
0.8500 1 -0.80256074 1 0.9999999992 0.0000000018 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002
0.9000 1 -0.79498744 1 1.0000000014 0.0000000009 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002
0.9500 1 -0.78773146 1 0.9999999987 0.0000000013 0.0000000004 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.0000 1 -0.78077641 1 1.0000000020 0.0000000010 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002
1.0500 1 -0.77410676 1 0.9999999987 0.0000000014 0.0000000005 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.1000 1 -0.76770783 1 0.9999999979 0.0000000020 0.0000000008 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003
1.1500 1 -0.76156569 1 1.0000000061 0.0000000006 0.0000000003 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
1.2000 1 -0.75566722 1 1.0000000061 0.0000000005 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
1.2500 1 -0.75000000 1 1.0000000005 0.0000000006 0.0000000003 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
1.3000 1 -0.74455231 1 1.0000000016 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
1.3500 1 -0.73931310 1 0.9999999963 0.0000000026 0.0000000011 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003
1.4000 1 -0.73427193 1 1.0000000039 0.0000000006 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000001
1.4500 1 -0.72941895 1 0.9999999990 0.0000000011 0.0000000005 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.5000 1 -0.72474487 1 1.0000000037 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
1.5500 1 -0.72024094 1 1.0000000040 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000
1.6000 1 -0.71589889 1 0.9999999960 0.0000000018 0.0000000009 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003
1.6500 1 -0.71171092 1 0.9999999977 0.0000000012 0.0000000006 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.7000 1 -0.70766968 1 0.9999999911 0.0000000032 0.0000000017 0.0000000007 0.0000000005 0.0000000005 0.0000000004 0.0000000004
1.7500 1 -0.70376823 1 0.9999999973 0.0000000014 0.0000000008 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002
1.8000 1 -0.70000000 1 1.0000000007 0.0000000004 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000
1.8500 1 -0.69635882 1 1.0000000062 0.0000000004 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001
1.9000 1 -0.69283883 1 0.9999999727 0.0000000059 0.0000000032 0.0000000013 0.0000000006 0.0000000006 0.0000000005 0.0000000002
1.9500 1 -0.68943452 1 0.9999999927 0.0000000022 0.0000000013 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000003
2.0000 1 -0.68614066 1 0.9999999889 0.0000000028 0.0000000016 0.0000000007 0.0000000003 0.0000000003 0.0000000003 0.0000000002
2.0500 1 -0.68295233 1 0.9999999819 0.0000000036 0.0000000021 0.0000000009 0.0000000004 0.0000000004 0.0000000004 0.0000000002
2.1000 1 -0.67986486 1 1.0000000012 0.0000000005 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.1500 1 -0.67687383 1 1.0000000020 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000
2.2000 1 -0.67397507 1 0.9999999945 0.0000000017 0.0000000011 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002
2.2500 1 -0.67116462 1 0.9999999892 0.0000000023 0.0000000015 0.0000000006 0.0000000003 0.0000000003 0.0000000003 0.0000000003
2.3000 1 -0.66843872 1 0.9999999975 0.0000000010 0.0000000007 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001
2.3500 1 -0.66579383 1 0.9999999979 0.0000000008 0.0000000005 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.4000 1 -0.66322658 1 0.9999999954 0.0000000014 0.0000000010 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002
2.4500 1 -0.66073378 1 1.0000000019 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.5000 1 -0.65831240 1 0.9999999972 0.0000000010 0.0000000007 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002
2.5500 1 -0.65595955 1 0.9999999950 0.0000000014 0.0000000010 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002
2.6000 1 -0.65367250 1 1.0000000039 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000
2.6500 1 -0.65144867 1 0.9999999979 0.0000000009 0.0000000006 0.0000000003 0.0000000002 0.0000000002 0.0000000001 0.0000000001
2.7000 1 -0.64928557 1 0.9999999975 0.0000000011 0.0000000008 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002
2.7500 1 -0.64718086 1 1.0000000035 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000001 0.0000000001
2.8000 1 -0.64513231 1 1.0000000012 0.0000000007 0.0000000005 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001
2.8500 1 -0.64313778 1 0.9999999923 0.0000000017 0.0000000013 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003
2.9000 1 -0.64119526 1 1.0000000021 0.0000000007 0.0000000006 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001
2.9500 1 -0.63930282 1 0.9999999955 0.0000000013 0.0000000010 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002
3.0000 1 -0.63745861 1 1.0000000045 0.0000000007 0.0000000006 0.0000000005 0.0000000003 0.0000000002 0.0000000002 0.0000000002
3.0500 1 -0.63566088 1 0.9999999968 0.0000000014 0.0000000011 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003
3.1000 1 -0.63390796 1 1.0000000023 0.0000000012 0.0000000010 0.0000000006 0.0000000004 0.0000000004 0.0000000003 0.0000000003
3.1500 1 -0.63219825 1 1.0000000002 0.0000000015 0.0000000012 0.0000000007 0.0000000005 0.0000000004 0.0000000004 0.0000000003
3.2000 1 -0.63053023 1 0.9999999973 0.0000000019 0.0000000015 0.0000000008 0.0000000007 0.0000000005 0.0000000005 0.0000000004
3.2500 1 -0.62890244 1 0.9999999940 0.0000000022 0.0000000018 0.0000000009 0.0000000008 0.0000000006 0.0000000005 0.0000000004
3.3000 1 -0.62731349 1 0.9999999982 0.0000000023 0.0000000018 0.0000000011 0.0000000008 0.0000000006 0.0000000006 0.0000000005
3.3500 1 -0.62576205 1 1.0000000027 0.0000000023 0.0000000018 0.0000000013 0.0000000008 0.0000000007 0.0000000007 0.0000000005
3.4000 1 -0.62424685 1 1.0000000019 0.0000000026 0.0000000021 0.0000000015 0.0000000009 0.0000000008 0.0000000008 0.0000000006
3.4500 1 -0.62276667 1 0.9999999977 0.0000000030 0.0000000024 0.0000000016 0.0000000011 0.0000000009 0.0000000008 0.0000000007
