B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8 eig9 eig10 eig11 eig12 eig13 eig14 eig15 eig16 eig17 eig18
0.0500 1 0.60000000 2 0.9999999872 0.0000000061 0.0000000037 0.0000000019 0.0000000015 0.0000000014 0.0000000013 0.0000000010 0.0000000009 0.0000000009 0.0000000008 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004
0.1000 1 0.70000000 2 0.9999999916 0.0000000083 0.0000000025 0.0000000016 0.0000000014 0.0000000013 0.0000000010 0.0000000008 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003
0.1500 1 0.80000000 2 0.9999999965 0.0000000029 0.0000000010 0.0000000008 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
0.2000 1 0.90000000 2 0.9999999930 0.0000000044 0.0000000038 0.0000000030 0.0000000025 0.0000000014 0.0000000014 0.0000000012 0.0000000009 0.0000000008 0.0000000007 0.0000000007 0.0000000006 0.0000000006 0.0000000004 0.0000000004 0.0000000004 0.0000000004
0.2500 1 1.00000000 2 0.9999999995 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3000 1 1.10000000 2 0.9999999822 0.0000000120 0.0000000101 0.0000000065 0.0000000045 0.0000000039 0.0000000035 0.0000000032 0.0000000019 0.0000000019 0.0000000018 0.0000000016 0.0000000015 0.0000000014 0.0000000012 0.0000000011 0.0000000010 0.0000000010
0.3500 1 1.20000000 2 0.9999999864 0.0000000068 0.0000000058 0.0000000044 0.0000000042 0.0000000033 0.0000000023 0.0000000020 0.0000000016 0.0000000013 0.0000000013 0.0000000010 0.0000000010 0.0000000010 0.0000000009 0.0000000007 0.0000000007 0.0000000007
0.4000 1 1.30000000 2 0.9999999942 0.0000000026 0.0000000026 0.0000000019 0.0000000008 0.0000000006 0.0000000006 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
0.4500 1 1.40000000 2 0.9999999949 0.0000000013 0.0000000011 0.0000000009 0.0000000007 0.0000000006 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
0.5000 1 1.50000000 2 0.9999999798 0.0000000075 0.0000000041 0.0000000040 0.0000000035 0.0000000032 0.0000000021 0.0000000018 0.0000000016 0.0000000012 0.0000000012 0.0000000011 0.0000000010 0.0000000010 0.0000000008 0.0000000007 0.0000000007 0.0000000006
